case_index,case_id,achievable_max_30,blocked_items,rationale
0,case_000,25,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 2.2 capped at 0: very sparse encounter text (<30 words) | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 3.1 capped at 0: extremely sparse encounter content (<25 words) | 3.4 capped at 1: source data sparse; safe non-hallucinatory note may remain <200 words,Heuristic cap model based on source completeness and known rubric constraints
1,case_001,26,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 2.2 capped at 0: very sparse encounter text (<30 words) | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 3.1 capped at 0: extremely sparse encounter content (<25 words),Heuristic cap model based on source completeness and known rubric constraints
2,case_002,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 3.4 capped at 1: source data sparse; safe non-hallucinatory note may remain <200 words,Heuristic cap model based on source completeness and known rubric constraints
3,case_003,26,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 2.2 capped at 0: very sparse encounter text (<30 words) | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 3.4 capped at 1: source data sparse; safe non-hallucinatory note may remain <200 words,Heuristic cap model based on source completeness and known rubric constraints
4,case_004,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
5,case_005,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
6,case_006,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
7,case_007,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
8,case_008,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
9,case_009,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
10,case_010,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
11,case_011,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
12,case_012,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
13,case_013,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
14,case_014,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
15,case_015,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
16,case_016,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
17,case_017,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
18,case_018,28,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable,Heuristic cap model based on source completeness and known rubric constraints
19,case_019,26,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 2.2 capped at 0: very sparse encounter text (<30 words) | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
20,case_020,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
21,case_021,27,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 3.1 capped at 1: limited encounter narrative makes robust 60+ word non-list HPI unreliable | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
22,case_022,29,4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
23,case_023,28,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
24,case_024,28,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
25,case_025,28,2.2 capped at 1: CURRENT_ENCOUNTER too sparse for >=80-word evidence-grounded HPI without drift | 4.2 capped at 1: source medication strings likely exceed 8-core-word threshold despite correct formatting,Heuristic cap model based on source completeness and known rubric constraints
